ID,Legacy ID,Name,Coder Initials,Notes,Org to plot link,,,
222,OrgUS13,Brooklyn Islamic Center Recruitment Cell,CG,mosque,Financial/Logistical Supporter of a 9/11 anniversary plot (I belive it is PlotUS75 but I could be wrong),,,
223,OrgUS14,Calverton Shooting Range,CG,no links,,,,
224,OrgUS15,Cambridge Mosque Recruitment Cell,CG,mosque,"OrgUS15 ""Financial/Logistical Supporter of"" PlotUS130",,,
225,OrgUS16,Charity Without Borders,CG,financial supporter of OrgINT20 and other middle eastern groups,,,,
226,OrgUS17,Dallas Metro Restaurant ,CG,,"OrgUS17 ""Financial/Logistical Supporter of"" PlotUS28",,,
227,OrgUS18,Dar-us-Salaam Mosque Recruitment Cell,CG,mosque with few links,,,,
228,OrgUS19,Detroit Apartment,CG,no links,,,,
229,OrgUS2,Al Hijrah Recruitment Cell,CG,no links/mosque,,,,
230,OrgUS20,Falls Church Mosque Recruitment Cell,CG,,"OrgUS20 ""Financial/Logistical Supporter of"" PlotUS80, PlotUS39",,,
231,OrgUS21,Global Relief Foundation,CG,financial supporter of orgINT1 and orgINT20,,,,
232,OrgUS22,Guantanamo Bay,CG,no links,,,,
233,OrgUS23,Hamas (US organizations),CG,,,,,
235,OrgUS25,Holy Land Foundation,CG,financial supporter of orgINT84,,,,
236,OrgUS26,Infocom Corporation,CG,,,,,
238,OrgUS28,Islamic Association of Palestine,CG,financial supporter of orgINT84,,,,
239,OrgUS29,Islamic Center of San Diego Recruitment Cell,CG,,"OrgUS29 ""Financial/Logistical Supporter of"" PlotUS39",,,
240,OrgUS3,"Al-Aqsa Education Fund, Inc.",CG,,,,,
241,OrgUS30,Islamic Center of Tuscon Recruitment Cell,CG,no links,,,,
242,OrgUS31,Islamic Circle of North America,CG,no links,,,,
243,OrgUS32,Islamic Thinker's Society,CG,no links,,,,
244,OrgUS33,Jamaat Al-Fukra,CG,Financial/Logistical Supporter of 1983 Hotel Rajneesh Bombing (not in database),,,,
245,OrgUS34,Jamaat al-Muslimeen,CG,"no explicit links (says ""ties to terrorist groups in middle east"" but never specifies which)",,,,
246,OrgUS35,Jamaat Shariat,CG,,,,,
247,OrgUS36,Jam'iyyat Ul-Islam Is-Saheeh,CG,no links,,,,
248,OrgUS37,Kindhearts,CG,,,,,
249,OrgUS38,Liberty City Seven,CG,,,,,
250,OrgUS39,Masjed as-Saber Recruitment Cell,CG,no links,,,,
251,OrgUS4,Al-Farooq Mosque Recruitment Cell,CG,no links,,,,
252,OrgUS40,Masjid al-Fatima Recruitment Cell,CG,,"OrgUS40 ""Financial/Logistical Supporter of"" PlotUS75",,,
253,OrgUS41,Masjid Al-Ihsaan Mosque Recruitment Cell,CG,no links,,,,
255,OrgUS43,Masjid At-Tawfeeq Recruitment Cell,CG,"says that members of this org were involved with ""Toledo plot,"" but it's unclear exactly which plot it is referring to","OrgUS43 ""Financial/Logistical Supporter of"" PlotUS57, PlotUS86",,,
256,OrgUS44,Moorish Science Temple Recruitment Cell,CG,no links,,,,
258,OrgUS46,Muslim Arab Youth Organization,CG,,,,,
261,OrgUS49,New Bloomfield Shooting Range,CG,no links,,,,
262,OrgUS5,Al-Kifah (NYC Branch),CG,no info written/no links,,,,
263,OrgUS50,Newburgh Mosque Recruitment Cell,CG,no links,,,,
264,OrgUS51,Airman Flight School,CG,,,,,
265,OrgUS52,Palestine Committee,CG,,,,,
266,OrgUS53,Poconos Training Camp,CG,no links,,,,
267,OrgUS54,Revolution Muslim,CG,no links,,,,
269,OrgUS56,United Association for Studies and Research,CG,,,,,
270,OrgUS57,World and Islam Studies Enterprise,CG,,,,,
310,OrgUS58,Twin Cities- Somalia Recruitment Ring,CG,,,,,
312,OrgUS59,Bly Oregon Training Camp,CG,,,,,
271,OrgUS6,Al-Kifah (US: Al-Kifah Refugee Center),CG,,,,,
343,OrgUS60,Islamic American Relief Agency,CG,"no links- funneled money to Iraq, not a specific org",,,,
344,OrgUS61,Shariah4USA,CG,,,,,
361,OrgUS62,Authentic Tauheed,CG,,,,,
272,OrgUS7,Al-Maghrib Institute Recruitment Cell,CG,,,,,
273,OrgUS8,American Islamic Group,CG,no info written,,,,
274,OrgUS9,American Middle Eastern League for Palestine,CG,,,,,
1,PlotAU1,US Embassy in Vienna 1998,CG,,"OrgAU1 ""Financial/Logistical Supporter of"" PlotAU1",,,
2,PlotAU2,GIMF Austrian Bomb Plot 2007,CG,,"OrgINT27 ""Director of"" PlotAU2",,,
3,PlotAU3,US Embassy in Vienna 2007,CG,no links,,,,
868,PlotAU4,St. Pölten Planned Assassination 2015,CG,no links,,,,
951,PlotAU5,2020 Vienna Attack,CG,no links,,,,
4,PlotAUS1,Israeli Embassy in Canberra 2002,CG,,"OrgINT20 ""Director of"" PlotAUS1",,,
5,PlotAUS10,Sydney anti-Muslim Film Demonstration 2012,CG,no links,,,,
6,PlotAUS11,Arnciffe Mosque Arrests 2012,CG,no links,,,,
7,PlotAUS12,Intelligence Officer Threats 2013,CG,no links,,,,
8,PlotAUS13,Australian Electric System Plot 2003,CG,no links,,,,
9,PlotAUS14,Australian Assassination Threat 2003,CG,no links,,,,
10,PlotAUS15,Australia Syrian Foreign Fighter Recruitment Cell 2013,CG,,"OrgINT76 ""Recruiting for"" PlotAUS15",,,
11,PlotAUS16,Sydney Public Decapitation Plot 2014,CG,,"OrgINT41 ""Director of"" PlotAUS16",,,
12,PlotAUS17,Endeavour Hills Knife Attack 2014,CG,,"OrgINT41 ""Inspiration for"" PlotAUS17",,,
13,PlotAUS18,Anzac Day Terror Plot 2015,CG,,"OrgINT41 ""Inspiration for"" PlotAUS18",,,
14,PlotAUS19,Australian Knife Plot 2015,CG,,"OrgINT41 ""Inspiration for"" PlotAUS19",,,
15,PlotAUS2,Do-it-yourself Jihad book 2004,CG,no links,,,,
16,PlotAUS20,Sydney Hostage Crisis 2014,CG,no clear links,,,,
795,PlotAUS21,Notes for Attack on Government Buildings 2014,CG,,"OrgINT41 ""Inspiration for"" PlotAUS17",,,
799,PlotAUS22,2015 Parramatta Shooting,CG,,"OrgAUS7 ""Director of"" PlotAUS22",,,
800,PlotAUS23,Christmas Day 2016 Planned Attacks,CG,,"OrgINT41 ""Inspiration for"" PlotAUS23",,,
807,PlotAUS24,Lashings Attack 2011,CG,no links,,,,
808,PlotAUS25,Gay Nightclub Shooting 2013,CG,no links,,,,
837,PlotAUS26,Australia Foreign Fighter Boat Plot,CG,,"OrgINT65 ""Recruitment Support By"" PlotAUS26",,,
846,PlotAUS27,Melbourne Suburb Shooting 2017,CG,,"OrgINT41 ""Claims Responsibility for"" PlotAUS27",,,
861,PlotAUS28,Sydney Airport Plane Bombing Plot 2017,CG,no clear links,,,,
866,PlotAUS29,Melbourne Flinders Street Car Attack 2017,CG,no links,,,,
17,PlotAUS3,Al-Furqan Center Raid 2012,CG,no links,,,,
905,PlotAUS30,Bankstown Terror Plot 2016,CG,no links,,,,
924,PlotAUS31,Fawkner Mosque Firebombing 2016,CG,no links,,,,
164,PlotAUS32,Sydney Rugby World Cup plot 2003,CG,no links,,,,
19,PlotAUS5,Operation Pendennis 2005,CG,,"OrgINT17 ""Financial/Logistical Supporter of"" PlotAUS5",,,
20,PlotAUS6,Melbourne Cricket Ground Plot 2005,CG,no links,,,,
21,PlotAUS7,Sydney Army Base Attack 2009,CG,,"OrgINT70 ""Director of"" PlotAUS7",,,
